lsoa_code,lsoa_name,la_name,wimd_2025_rank,income_rank,employment_rank,health_rank,education_rank,access_rank,housing_rank,community_safety_rank,physical_env_rank,wimd_2025_score,income_score,employment_score,health_score,education_score,access_score,housing_score,community_safety_score,physical_env_score,drd_category,wimd_2019_rank,wimd_2014_rank,wimd_2011_rank,wimd_2008_rank,wimd_2005_rank,ruc_code,ruc_name,rural_urban,access_rank_gap,housing_rank_gap
W01000003,Amlwch Port,Isle of Anglesey,570,407,589,566,607,1301,618,582,820,26.1163711385233,34.6183786555975,26.5183901566588,27.3977881755914,25.8528784830079,8.79236787018381,25.4554579816815,26.7824915091031,19.1645201635088,LSOAs never ranked in top 50 most deprived,550,500,527,459,547,RLF1,Larger rural: Further from a major town or city,Rural,731,48
W01000004,Amlwch Rural,Isle of Anglesey,1132,1215,1061,1574,637,263,844,1447,1543,15.7235856476016,10.3357026259726,13.388049625384,4.48389817521544,24.7847753801216,43.9675312221797,18.5197093709096,6.38838697965858,4.93443101457545,LSOAs never ranked in top 50 most deprived,1100,1126,768,811,715,RSF1,Smaller rural: Further from a major town or city,Rural,-869,-288
W01000005,Beaumaris,Isle of Anglesey,676,719,810,983,428,491,792,718,375,23.4807198176863,22.095569808014705,19.4386197060457,15.1037513169693,33.524474867068,30.5240802001074,19.9403841096694,22.1265411904144,36.3922338075472,LSOAs never ranked in top 50 most deprived,1065,1231,1032,1137,1182,RLF1,Larger rural: Further from a major town or city,Rural,-185,116
W01000006,Bodffordd,Isle of Anglesey,991,1309,1227,1104,1301,145,180,1462,1870,17.6457297370363,8.65393010916411,10.1140357324734,12.4942256906992,8.79236787018381,56.1411768663389,51.8149142947811,6.15505949084693,0.575593267767309,LSOAs never ranked in top 50 most deprived,1116,933,917,846,839,RSF1,Smaller rural: Further from a major town or city,Rural,-846,-811
W01000007,Bodorgan,Isle of Anglesey,1026,1168,1201,1742,1417,113,175,1441,1622,17.202879096119,11.225070745121,10.5970433761167,2.18488617544616,6.86226541397567,60.9654380577152,52.3853202108301,6.48238480299949,3.8032581559873706,LSOAs never ranked in top 50 most deprived,1036,972,870,879,797,RSF1,Smaller rural: Further from a major town or city,Rural,-913,-851
W01000008,Braint,Isle of Anglesey,1833,1615,1680,1622,1736,1686,1397,1566,1523,3.77756370550055,3.90127238409541,3.0068182690504,3.8032581559873706,2.26315653907452,2.92598033764537,7.18369696311483,4.59932251839442,5.22985203912699,LSOAs never ranked in top 50 most deprived,1820,1781,1811,1787,1692,RLF1,Larger rural: Further from a major town or city,Rural,-147,-436
W01000009,Bryngwran,Isle of Anglesey,573,717,855,917,627,275,82,869,1410,26.1010562261275,22.1575543345572,18.2301063273758,16.6626755924952,25.1353271859448,43.0258094753443,66.859958217564,17.8667173033409,6.9742561972193,LSOAs never ranked in top 50 most deprived,819,742,486,483,498,RSF1,Smaller rural: Further from a major town or city,Rural,-298,-491
W01000010,Brynteg,Isle of Anglesey,1249,1354,1288,1445,921,356,581,1527,1182,13.7933737050356,7.89037234129321,9.01912172048089,6.4196769228278,16.5651270025312,37.5140585258403,26.8204690556212,5.17046349396186,10.9565376957681,LSOAs never ranked in top 50 most deprived,1624,1485,1500,1487,1268,RLF1,Larger rural: Further from a major town or city,Rural,-893,-668
W01000011,Cadnant (Isle of Anglesey),Isle of Anglesey,1550,1171,1409,1649,1604,1594,1435,475,594,8.82784153029292,11.167263427797,6.99029948801807,3.42906811927115,4.05614363843974,4.19784638697523,6.57676835943883,31.2498052753694,26.3315859297246,LSOAs never ranked in top 50 most deprived,1377,1634,1602,1625,1630,RLF1,Larger rural: Further from a major town or city,Rural,44,-115
W01000012,Cefni,Isle of Anglesey,1348,807,993,1121,1443,1259,1442,1238,1690,12.1702682983995,19.5214906192099,14.8765039443765,12.1502172313369,6.4510094918429,9.53316063392553,6.46669179736645,9.91270089384097,2.87224579783897,LSOAs never ranked in top 50 most deprived,1494,1409,1649,1690,1589,RLF1,Larger rural: Further from a major town or city,Rural,-89,94
W01000013,Cwm Cadnant,Isle of Anglesey,1628,1685,1789,1807,1669,255,1090,1464,1751,7.62936766258722,2.93943361103069,1.58081299407966,1.35360342142781,3.15576312637597,44.6174729412671,12.7814419168105,6.12412723823759,2.06797779772392,LSOAs never ranked in top 50 most deprived,1777,1673,1651,1630,1670,RSF1,Smaller rural: Further from a major town or city,Rural,-1373,-538
W01000014,Cyngar,Isle of Anglesey,1240,915,1047,1138,1391,600,1224,903,1396,13.9414676854207,16.7116054751692,13.6867215568436,11.8112783366967,7.28100896378488,26.1094053227161,10.1692524942803,17.0073910815665,7.19988706490412,LSOAs never ranked in top 50 most deprived,1194,1031,1115,1117,1216,RLF1,Larger rural: Further from a major town or city,Rural,-640,-16
W01000015,Gwyngyll,Isle of Anglesey,1741,1494,1402,1539,1717,1512,1648,1554,1172,5.4129991172091,5.66506716312915,7.10291696165361,4.99321243883806,2.5127846729859,5.39396568933568,3.44281899211342,4.77355245062621,11.1480265638227,LSOAs never ranked in top 50 most deprived,1704,1733,1758,1667,1690,RLF1,Larger rural: Further from a major town or city,Rural,-229,-93
W01000016,Tref Cybi,Isle of Anglesey,112,147,94,154,330,1856,68,12,798,50.8490018735752,55.8707782061083,64.3959813046485,54.9486586961829,39.1436299697375,0.7462243253503089,70.1139249360847,91.6471244983198,19.7719101082479,LSOAs never ranked in top 50 most deprived,168,209,246,241,312,UF1,Urban: Further from a major town or city,Urban,1744,-44
W01000017,Kingsland,Isle of Anglesey,440,414,493,665,165,933,915,318,1560,30.0586825534016,34.2479330799044,30.4349537266765,23.8307357386068,53.5704094628783,16.2749392987333,16.7116054751692,39.9365359388287,4.68627250626735,LSOAs never ranked in top 50 most deprived,486,326,377,405,468,UF1,Urban: Further from a major town or city,Urban,493,475
W01000018,Llanbadrig,Isle of Anglesey,913,810,747,987,926,639,521,1316,1501,18.885647910691105,19.4386197060457,21.2448824142573,15.0125827581996,16.4437702057272,24.715301636097905,29.2221433891795,8.53347685393684,5.55925877290174,LSOAs never ranked in top 50 most deprived,1145,980,890,880,735,RLF1,Larger rural: Further from a major town or city,Rural,-274,-392
W01000019,Llanbedr-goch,Isle of Anglesey,1195,1508,1390,1371,749,443,502,1255,541,14.6472476648974,5.45393491170779,7.29726773457373,7.608388398587911,21.185306237659095,32.7737900273049,30.0381041409386,9.60497279241023,28.3934057862217,LSOAs never ranked in top 50 most deprived,1233,1335,1318,1457,1183,RLF1,Larger rural: Further from a major town or city,Rural,-752,-693
W01000021,Llaneilian,Isle of Anglesey,898,1135,1097,1192,1195,180,131,1482,1659,19.1234706267876,11.8707292942162,12.6373854742736,10.7666299333993,10.7099620320905,51.8149142947811,58.1285815636282,5.84759317920274,3.29200967076007,LSOAs never ranked in top 50 most deprived,1044,969,826,821,860,RSF1,Smaller rural: Further from a major town or city,Rural,-718,-767
W01000022,Llanfaethlu,Isle of Anglesey,627,958,1030,1292,818,54,73,1414,1566,24.4608447834164,15.6818913235186,14.0546874508093,8.94911290025359,19.2190793710624,73.9053309675503,68.8982688558412,6.91019470786337,4.59932251839442,LSOAs never ranked in top 50 most deprived,857,721,953,940,718,RSF1,Smaller rural: Further from a major town or city,Rural,-573,-554
W01000023,Llanfair-yn-Neubwll 1,Isle of Anglesey,904,820,1109,962,831,297,505,1232,1831,19.0591312136282,19.1645201635088,12.3925115242157,15.5884067692259,18.8667362212317,41.3935042589961,29.9073281353078,10.0223013573301,1.05410721025941,LSOAs never ranked in top 50 most deprived,985,873,878,843,869,RSF1,Smaller rural: Further from a major town or city,Rural,-607,-399
W01000024,Llanfair-yn-Neubwll 2,Isle of Anglesey,927,891,1105,1256,841,249,421,1066,1859,18.605094957075,17.307030173526,12.4738468402795,9.58699872152888,18.599329017006905,45.1172732377935,33.883359570169,13.2823140914513,0.709553811319619,LSOAs never ranked in top 50 most deprived,1050,915,1058,971,1002,RSF1,Smaller rural: Further from a major town or city,Rural,-678,-506
W01000025,Llanfihangel Ysgeifiog,Isle of Anglesey,1159,1052,1434,1317,1375,303,293,1467,1238,15.2870843320619,13.5796072285402,6.59253667664155,8.51632062665846,7.54253865954455,40.9677253706744,41.6817998039603,6.07780672007768,9.91270089384097,LSOAs never ranked in top 50 most deprived,1300,1115,1121,1119,1026,RLF1,Larger rural: Further from a major town or city,Rural,-856,-866
W01000026,Llangoed,Isle of Anglesey,775,1063,1146,1131,875,141,98,1399,1797,21.3664845664739,13.3456970635279,11.6534896520741,11.9502370380452,17.7127196923689,56.6917020085358,63.6300170576852,7.15135090896387,1.4795537590219,LSOAs never ranked in top 50 most deprived,946,943,986,984,731,RSF1,Smaller rural: Further from a major town or city,Rural,-634,-677
W01000027,Llanidan,Isle of Anglesey,780,1231,1125,1137,1007,78,147,1360,1228,21.1333338163714,10.0406189854602,12.0700163793339,11.8310782529684,14.5620831201808,67.7436530415939,55.8707782061083,7.79045336062413,10.0956595638491,LSOAs never ranked in top 50 most deprived,954,1017,736,779,719,RSF1,Smaller rural: Further from a major town or city,Rural,-702,-633
W01000028,Llannerch-y-medd,Isle of Anglesey,645,773,992,1258,843,100,144,1137,1412,23.8443240237868,20.4821752709261,14.8991279100064,9.55109266416355,18.5462186401516,63.2563930846068,56.2775777153638,11.8310782529684,6.94220314888323,LSOAs never ranked in top 50 most deprived,727,640,644,655,614,RSF1,Smaller rural: Further from a major town or city,Rural,-545,-501
W01000029,London Road,Isle of Anglesey,348,309,309,332,488,1147,365,251,1514,34.1820464189145,40.5496855058199,40.5496855058199,39.014096366433,30.658420845487,11.6338419620532,36.9758420280645,44.9494634762579,5.36403961186012,LSOAs never ranked in top 50 most deprived,366,238,341,346,412,UF1,Urban: Further from a major town or city,Urban,799,17
W01000030,Maeshyfryd,Isle of Anglesey,307,245,354,301,262,1044,572,346,1741,35.6967790993714,45.456611096029,37.6353920553086,41.1087776906679,44.0477766042521,13.7512304210547,27.1651187152393,38.1272300973115,2.19791275290499,LSOAs never ranked in top 50 most deprived,353,376,320,402,344,UF1,Urban: Further from a major town or city,Urban,737,265
W01000031,Mechell,Isle of Anglesey,640,832,849,1340,857,94,139,1156,1420,24.066659409176495,18.8398551620865,18.3876194065474,8.1252186921482,18.1778407727645,64.3959813046485,56.9719862408186,11.4577639697738,6.81443579142984,LSOAs never ranked in top 50 most deprived,864,852,773,744,656,RSF1,Smaller rural: Further from a major town or city,Rural,-546,-501
W01000033,Morawelon,Isle of Anglesey,211,150,189,296,209,875,703,367,1833,41.1135429446711,55.471048864908,50.8225311289116,41.4652400723311,48.7594887676383,17.7127196923689,22.5961873330459,36.8579296788392,1.02932434273908,LSOAs never ranked in top 50 most deprived,224,168,146,116,159,UF1,Urban: Further from a major town or city,Urban,664,492
W01000034,Parc a'r Mynydd,Isle of Anglesey,1314,946,1130,1324,1057,654,1694,831,1815,12.7317239334277,15.9646466734826,11.9701569931987,8.39658402713063,13.4729894356203,24.2008317495807,2.81863650464155,18.8667362212317,1.25333740256027,LSOAs never ranked in top 50 most deprived,1196,1213,1066,1051,821,UF1,Urban: Further from a major town or city,Urban,-660,380
W01000035,Pentraeth,Isle of Anglesey,989,1195,1137,1294,1084,175,269,1349,1528,17.6756044555677,10.7099620320905,11.8310782529684,8.9141882397577,12.9056410969755,52.3853202108301,43.4918509036102,7.97397103195276,5.1556402873674,LSOAs never ranked in top 50 most deprived,1087,1057,977,1050,1054,RSF1,Smaller rural: Further from a major town or city,Rural,-814,-720
W01000036,Porthyfelin 1,Isle of Anglesey,182,213,129,463,108,1588,279,122,918,43.8328441225379,48.368191681927,58.427052259456,31.8095330905615,61.8197854357871,4.28328899237325,42.7202801087006,59.5032997094976,16.6382496306617,LSOAs never ranked in top 50 most deprived,316,268,198,201,277,UF1,Urban: Further from a major town or city,Urban,1406,97
W01000037,Porthyfelin 2,Isle of Anglesey,917,998,739,1035,440,1013,639,981,1760,18.7682181427594,14.7637167283019,21.4847424007712,13.9458497514272,32.9219796861378,14.4286360982988,24.715301636097905,15.1494714723929,1.95166065814167,LSOAs never ranked in top 50 most deprived,974,1018,649,676,856,UF1,Urban: Further from a major town or city,Urban,96,-278
W01000038,Rhosyr,Isle of Anglesey,612,928,967,1010,914,45,204,719,1142,25.015429433365295,16.3954062121735,15.4720828916168,14.4952628261818,16.7361095067327,76.7205326292893,49.258161622155,22.095569808014705,11.7322486834062,LSOAs never ranked in top 50 most deprived,764,664,699,771,681,RSF1,Smaller rural: Further from a major town or city,Rural,-567,-408
W01000040,Trearddur 2,Isle of Anglesey,1396,1701,1458,1489,1014,244,1324,1034,995,11.470844410899,2.72511986642925,6.21704907705438,5.74094371357136,14.4064700101462,45.5422336426806,8.39658402713063,13.9675761280521,14.8313226661017,LSOAs never ranked in top 50 most deprived,1325,1246,1271,1327,1149,RSF1,Smaller rural: Further from a major town or city,Rural,-1152,-72
W01000041,Tudur,Isle of Anglesey,303,203,416,528,311,436,548,237,1836,35.8838181877621,49.3592068784843,34.1431782076104,28.9286764209639,40.41201047995,33.1210629250296,28.110261139583,46.1506861118912,0.99220003951702,LSOAs never ranked in top 50 most deprived,308,262,202,184,223,RLF1,Larger rural: Further from a major town or city,Rural,133,245
W01000042,Tysilio,Isle of Anglesey,1435,1083,1171,1130,1231,1102,1431,1152,1714,10.8339827896749,12.9264063213085,11.167263427797,11.9701569931987,10.0406189854602,12.5350376409081,6.6399065947588,11.535854485957,2.55244849132853,LSOAs never ranked in top 50 most deprived,1442,1574,1453,1404,1452,RLF1,Larger rural: Further from a major town or city,Rural,-333,-4
W01000044,Valley 2,Isle of Anglesey,1619,1817,1694,1356,1528,285,1631,1904,1349,7.69927559727008,1.22833904598966,2.81863650464155,7.85701776021684,5.1556402873674,42.2694637565479,3.67785050965783,0.166398576769003,7.97397103195276,LSOAs never ranked in top 50 most deprived,1716,1739,1590,1583,1486,RLF1,Larger rural: Further from a major town or city,Rural,-1334,12
W01000047,Abererch,Gwynedd,1004,1023,1265,1533,1186,214,172,1478,1417,17.5082153950149,14.2079306977063,9.42586106049934,5.08166721716738,10.8803863227155,48.2713988064592,52.7344798362068,5.90875850122173,6.86226541397567,LSOAs never ranked in top 50 most deprived,1234,1145,1189,1216,1326,RSF1,Smaller rural: Further from a major town or city,Rural,-790,-832
W01000050,"Abergwyngregyn, Llanllechid a Llandygai",Gwynedd,1052,1131,1306,1550,1175,259,229,994,938,16.845090887751,11.9502370380452,8.70574667081706,4.83192362954361,11.0904123205042,44.2902063742018,46.8663598284772,14.8539022109588,16.155100067689,LSOAs never ranked in top 50 most deprived,855,1045,1162,1031,1276,RSF1,Smaller rural: Further from a major town or city,Rural,-793,-823
W01000051,Y Bala,Gwynedd,1255,977,1106,1245,990,1551,675,827,983,13.7043953706679,15.2411853419661,12.4534860302914,9.78549030558674,14.9444427131545,4.81731694091967,23.4993757451571,18.9745757338571,15.1037513169693,LSOAs never ranked in top 50 most deprived,1167,1151,1270,1217,1352,RLF1,Larger rural: Further from a major town or city,Rural,296,-580
W01000052,Bethel,Gwynedd,1483,1540,1515,1420,1475,262,1009,1764,1889,9.84458083163558,4.97850299285104,5.34909116215445,6.81443579142984,5.95473947595861,44.0477766042521,14.5175146946677,1.90015237233338,0.34602887733601,LSOAs never ranked in top 50 most deprived,1606,1573,1638,1607,1399,RSF1,Smaller rural: Further from a major town or city,Rural,-1221,-474
W01000053,"Ceunant, Cwm-y-glo",Gwynedd,1147,1616,1568,1721,1624,219,25,1552,1626,15.4855765274486,3.8872447529099694,4.5704120823873,2.46000575936387,3.7753306378583,47.7934518745139,84.5766677674738,4.80271952272831,3.74743698931493,LSOAs never ranked in top 50 most deprived,1320,1444,1454,1188,1040,RSF1,Smaller rural: Further from a major town or city,Rural,-928,-1122
W01000054,Y Bontnewydd a Llanfaglan,Gwynedd,1152,1194,1245,1614,1079,321,465,1329,521,15.4307186999625,10.7288358234862,9.78549030558674,3.9153085759125,13.0096552038537,39.7357321198931,31.7152940583482,8.31143792104385,29.2221433891795,LSOAs never ranked in top 50 most deprived,1394,1489,1471,1300,1383,RSF1,Smaller rural: Further from a major town or city,Rural,-831,-687
W01000056,Bowydd a'r Rhiw,Gwynedd,463,510,649,491,737,768,120,500,532,29.3920895817038,29.6910070790377,24.3710462634956,30.5240802001074,21.5451002935689,20.6268988037534,59.8202812764146,30.125703080725305,28.7626470242333,LSOAs never ranked in top 50 most deprived,558,635,616,526,679,RLF1,Larger rural: Further from a major town or city,Rural,305,-343
W01000057,"Brithdir a Llanfachreth, Y Ganllwyd a Llanelltud",Gwynedd,808,1384,1475,1577,1434,36,39,1305,1071,20.5876517435406,7.395062462084311,5.95473947595861,4.4407629488411,6.59253667664155,79.929011439795,78.8090446999479,8.72304483214816,13.1770624210437,LSOAs never ranked in top 50 most deprived,889,1209,1403,1401,1329,RSF1,Smaller rural: Further from a major town or city,Rural,-772,-769
W01000059,Cadnant,Gwynedd,405,444,472,653,322,783,392,109,1450,31.2739042369666,32.7246048931715,31.3884653978513,24.2347740259203,39.6691852192056,20.1954318278281,35.4328707014038,61.6463582731176,6.34153173513494,LSOAs never ranked in top 50 most deprived,357,386,445,357,458,UF1,Urban: Further from a major town or city,Urban,378,-13
W01000060,Corris a Mawddwy,Gwynedd,626,1163,1385,1578,1691,7,17,1511,407,24.5193623255401,11.3217403190675,7.378734437306749,4.42640249861117,2.85883175549365,95.073915980509,88.6653116596723,5.40894334243726,34.6183786555975,LSOAs never ranked in top 50 most deprived,768,934,1050,944,991,RSF1,Smaller rural: Further from a major town or city,Rural,-619,-609
W01000061,Criccieth,Gwynedd,1485,1216,1181,1426,1085,1315,1084,1281,1796,9.82493125763541,10.3171485690894,10.975614999948199,6.71907390820253,12.8848946033218,8.55064588799191,12.9056410969755,9.14215227401453,1.4921868104588,LSOAs never ranked in top 50 most deprived,1615,1685,1587,1480,1460,RLF1,Larger rural: Further from a major town or city,Rural,-170,-401
W01000062,Deiniol,Gwynedd,905,1282,1538,420,1265,1139,301,25,1249,19.0122966974032,9.12453613689573,5.00793129814132,33.9350890255224,9.42586106049934,11.7914954508383,41.1087776906679,84.5766677674738,9.71311319484083,LSOAs never ranked in top 50 most deprived,875,1023,1116,845,971,UF1,Urban: Further from a major town or city,Urban,234,-604
W01000063,Deiniolen,Gwynedd,447,613,863,935,806,200,2,709,1287,29.8729229870323,25.6352528280954,18.021752966991695,16.2269286511038,19.5491807435255,49.6650337834706,99.1021900078219,22.4071765401366,9.03665727271942,LSOAs never ranked in top 50 most deprived,663,671,754,782,804,RLF1,Larger rural: Further from a major town or city,Rural,-247,-445
W01000064,Dewi,Gwynedd,1116,830,1089,978,1166,580,1006,774,1322,16.0193221774865,18.8936487341566,12.8020952616562,15.2182225660566,11.263689831837,26.858509414305505,14.5843997608832,20.4533395220968,8.43073092520504,LSOAs never ranked in top 50 most deprived,1016,1093,1071,1047,1126,UF1,Urban: Further from a major town or city,Urban,-536,-110
W01000065,Diffwys a Maenofferen,Gwynedd,708,559,729,673,805,1867,443,525,456,22.791743973615,27.6722445460777,21.7881283915832,23.5652669328937,19.5769042446795,0.612050651016539,32.7737900273049,29.053989753466695,32.1424441147939,LSOAs never ranked in top 50 most deprived,679,755,575,597,603,RLF1,Larger rural: Further from a major town or city,Rural,1159,-265
W01000066,Dolbenmaen,Gwynedd,620,945,1193,1215,1411,50,12,1535,1147,24.7854540152411,15.988367280387,10.7477251154287,10.3357026259726,6.95822408936744,75.1142089728036,91.6471244983198,5.05214447662267,11.6338419620532,LSOAs never ranked in top 50 most deprived,904,910,958,902,905,RSF1,Smaller rural: Further from a major town or city,Rural,-570,-608
W01000067,Gogledd Dolgellau,Gwynedd,1177,1149,1364,1312,1460,542,202,986,1013,15.0119426286597,11.5945968624002,7.72408104955796,8.60223002237486,6.18603339967003,28.3527425151014,49.460698013698,15.0353410410427,14.4286360982988,LSOAs never ranked in top 50 most deprived,1222,1242,1126,1136,1102,RLF1,Larger rural: Further from a major town or city,Rural,-635,-975
W01000068,De Dolgellau,Gwynedd,1203,806,965,928,1072,1279,1160,954,1702,14.5720031725473,19.5491807435255,15.5185418687327,16.3954062121735,13.156069761591,9.17742507759905,11.3799376927195,15.7757574013147,2.71179133211939,LSOAs never ranked in top 50 most deprived,1224,1029,1042,1075,1087,RLF1,Larger rural: Further from a major town or city,Rural,76,-43
W01000070,Efailnewydd a Buan,Gwynedd,852,1187,1577,1682,1294,173,8,1335,956,19.9224778318517,10.8613878099329,4.4407629488411,2.97984071065512,8.9141882397577,52.6175033557826,94.3464939726561,8.20967693488654,15.7287764774469,LSOAs never ranked in top 50 most deprived,1177,1258,1075,1028,939,RSF1,Smaller rural: Further from a major town or city,Rural,-679,-844
W01000071,Gerlan a Rachub,Gwynedd,1127,1033,1098,1080,1126,516,458,1020,1779,15.8630703762602,13.9893230473638,12.6168794401143,12.9888147173631,12.0500097871272,29.4340791286202,32.0468339619845,14.2739202271162,1.70801718437217,LSOAs never ranked in top 50 most deprived,957,892,663,735,901,RLF1,Larger rural: Further from a major town or city,Rural,-611,-669
W01000072,Glyder,Gwynedd,1427,1142,1088,1531,1445,594,1258,1074,1865,10.9913705091397,11.7322486834062,12.8227671692873,5.1112279017356,6.4196769228278,26.3315859297246,9.55109266416355,13.1141418369244,0.636387717665115,LSOAs never ranked in top 50 most deprived,1502,1453,1433,1504,1651,UF1,Urban: Further from a major town or city,Urban,-833,-169
W01000073,Y Groeslon,Gwynedd,1258,1518,1472,1632,1599,185,272,1229,1160,13.5863487486723,5.30430401769355,6.0008125587809,3.6639584421629694,4.12688588424453,51.2583129262402,43.2576498041656,10.0772980653991,11.3799376927195,LSOAs never ranked in top 50 most deprived,1375,1395,1252,1221,1224,RSF1,Smaller rural: Further from a major town or city,Rural,-1073,-986
W01000074,Harlech,Gwynedd,1005,1136,1150,1355,1064,283,181,1448,1455,17.4956092655261,11.8508952290006,11.574999395637,7.8736890044073,13.3245499924955,42.4187562091442,51.7025112206975,6.37275795655347,6.263651156064,LSOAs never ranked in top 50 most deprived,1254,1176,1243,1153,1205,RSF1,Smaller rural: Further from a major town or city,Rural,-722,-824
W01000075,Hendre (Bangor),Gwynedd,551,615,904,397,664,595,234,379,1092,26.887193676172,25.563166143647,16.9825964740492,35.1581560377781,23.8641358225167,26.2944064618458,46.4164609494925,36.1628747637026,12.7401907823339,LSOAs never ranked in top 50 most deprived,753,874,720,702,742,UF1,Urban: Further from a major town or city,Urban,44,-317
W01000076,Garth,Gwynedd,1414,1617,1387,1252,1276,1543,450,770,420,11.1999342102696,3.8732256719203506,7.34611312114682,9.65897943745234,9.23043591779899,4.93443101457545,32.4316826446063,20.5689000671964,33.9350890255224,LSOAs never ranked in top 50 most deprived,1132,1450,1483,1657,1516,UF1,Urban: Further from a major town or city,Urban,129,-964
W01000077,Hirael,Gwynedd,576,627,871,471,778,1748,363,181,103,25.9250878013901,25.1353271859448,17.8152701147679,31.4348718274628,20.3383566946506,2.1068812673999706,37.0943619858733,51.7025112206975,62.7070963930939,LSOAs never ranked in top 50 most deprived,938,1005,998,905,864,UF1,Urban: Further from a major town or city,Urban,1172,-213
W01000078,Yr Eifl,Gwynedd,559,818,935,1304,836,126,20,649,1533,26.6021728263145,19.2190793710624,16.2269286511038,8.74035601311472,18.732643998412,58.8821487500075,87.045728040902,24.3710462634956,5.08166721716738,LSOAs never ranked in top 50 most deprived,800,622,693,667,585,RSF1,Smaller rural: Further from a major town or city,Rural,-433,-539
W01000080,Abersoch a Llanbedrog,Gwynedd,1167,1256,1399,1525,1078,309,255,1092,1479,15.1459259831477,9.58699872152888,7.15135090896387,5.20013859807531,13.0305145912057,40.5496855058199,44.6174729412671,12.7401907823339,5.89345191451641,LSOAs never ranked in top 50 most deprived,1355,1417,995,966,1195,RSF1,Smaller rural: Further from a major town or city,Rural,-858,-912
W01000081,Llanberis,Gwynedd,1193,1062,1335,1225,1474,968,212,937,773,14.6809163175607,13.3668635958731,8.20967693488654,10.1508321741438,5.97008691778702,15.4488885476342,48.4653936212711,16.1790180131088,20.4821752709261,LSOAs never ranked in top 50 most deprived,1260,1208,1063,893,878,RLF1,Larger rural: Further from a major town or city,Rural,-225,-981
W01000082,Llandderfel a Llanfor,Gwynedd,718,1189,1438,1486,1295,104,5,1670,424,22.590982686191,10.8234377992372,6.52952816681984,5.78659008657496,8.89674577633235,62.5268745529736,96.6016437838926,3.14218275704172,33.7288656324468,LSOAs never ranked in top 50 most deprived,991,1058,1043,1041,1107,RSF1,Smaller rural: Further from a major town or city,Rural,-614,-713
W01000083,Llanuwchllyn a Llanycil,Gwynedd,1046,1583,1836,1852,1529,120,10,1401,1547,16.9434001242313,4.35473443330402,0.99220003951702,0.795209469357828,5.14082662798777,59.8202812764146,92.9572308799948,7.11905028081461,4.8757994359463,LSOAs never ranked in top 50 most deprived,1162,1333,1329,1319,1491,RSF1,Smaller rural: Further from a major town or city,Rural,-926,-1036
W01000084,Llanengan a Mynytho,Gwynedd,1033,1245,1693,1801,1192,149,54,1463,1672,17.1154687609506,9.78549030558674,2.83202711799647,1.42909082783773,10.7666299333993,55.603521574478,73.9053309675503,6.13958816451955,3.11504605034776,LSOAs never ranked in top 50 most deprived,1378,1392,1067,915,1146,RSF1,Smaller rural: Further from a major town or city,Rural,-884,-979
W01000085,"Arthog, Llangelynnin a Llanegryn",Gwynedd,445,817,836,1103,1148,9,60,1107,329,29.9284551823441,19.2464075849848,18.732643998412,12.5146226135479,11.614211041696,93.6413746078224,72.203395391669,12.4331432288226,39.2086713724364,LSOAs never ranked in top 50 most deprived,725,679,877,948,983,RSF1,Smaller rural: Further from a major town or city,Rural,-436,-385
W01000086,Clynnog a Llanllyfni,Gwynedd,546,778,1152,1247,835,86,47,767,448,26.9762591191266,20.3383566946506,11.535854485957,9.74927328040944,18.7593999742441,66.0089637625679,76.0644806138891,20.6559531098305,32.5289094731631,LSOAs never ranked in top 50 most deprived,748,744,728,704,734,RSF1,Smaller rural: Further from a major town or city,Rural,-460,-499
W01000087,Llanrug,Gwynedd,1598,1307,1496,1132,1428,1469,1027,1353,1882,8.05659095611692,8.68846150955214,5.63478649276884,11.9303343203381,6.68737427552595,6.04697811944721,14.120238144903,7.90706778843048,0.430338888596109,LSOAs never ranked in top 50 most deprived,1634,1555,1578,1434,1422,RLF1,Larger rural: Further from a major town or city,Rural,-129,-571
W01000088,"Llanwnda, Rhostryfan a Rhosgadfan",Gwynedd,785,1158,1219,1477,1451,153,41,1537,332,21.0765933844604,11.4188179131678,10.2615760348921,5.92407528130231,6.3259345080427,55.0781481254215,78.09159448065671,5.02265958281663,39.014096366433,LSOAs never ranked in top 50 most deprived,1046,1285,1218,1008,1179,RSF1,Smaller rural: Further from a major town or city,Rural,-632,-744
W01000089,Llanystumdwy,Gwynedd,956,1278,1624,1452,1171,169,71,980,1184,18.1453115668116,9.19508178554439,3.7753306378583,6.31034785089135,11.167263427797,53.0890218163239,69.3768488753494,15.172365676842,10.91843049278,LSOAs never ranked in top 50 most deprived,1102,1235,1291,1237,1096,RSF1,Smaller rural: Further from a major town or city,Rural,-787,-885
W01000090,De Marchog,Gwynedd,178,97,291,211,184,582,496,252,1912,44.5340011353238,63.8191299745504,41.8273141236828,48.5630080967241,51.3685608303201,26.7824915091031,30.3019082598622,44.8660155057172,0.0711663169787136,LSOAs never ranked in top 50 most deprived,300,157,136,135,137,UF1,Urban: Further from a major town or city,Urban,404,318
W01000091,Gogledd Marchog,Gwynedd,81,78,45,92,199,701,508,47,1915,55.6844381045998,67.7436530415939,76.7205326292893,64.7887465705303,49.7678864822923,22.6595376835578,29.7772915086413,76.0644806138891,0.0355556332575515,LSOAs never ranked in top 50 most deprived,167,105,143,163,251,UF1,Urban: Further from a major town or city,Urban,620,427
