lsoa_code,lsoa_name,la_name,wimd_2025_rank,income_rank,employment_rank,health_rank,education_rank,access_rank,housing_rank,community_safety_rank,physical_env_rank,wimd_2025_score,income_score,employment_score,health_score,education_score,access_score,housing_score,community_safety_score,physical_env_score,drd_category,wimd_2019_rank,wimd_2014_rank,wimd_2011_rank,wimd_2008_rank,wimd_2005_rank,ruc_code,ruc_name,rural_urban,access_rank_gap,housing_rank_gap
W01000592,Milford: Hubberston 2,Pembrokeshire,184,152,211,396,50,877,684,255,1917,43.7424516146852,55.2083707065076,48.5630080967241,35.2128370995348,75.1142089728036,17.661615439175,23.2051793247566,44.6174729412671,0.0118457715408025,LSOAs never ranked in top 50 most deprived,254,173,213,345,332,UF1,Urban: Further from a major town or city,Urban,693,500
W01000594,Milford: West,Pembrokeshire,282,240,248,387,316,1075,783,74,1411,37.0102600971063,45.8879473662721,45.2016394953934,35.7109062943083,40.0713857784766,13.0932065020438,20.1954318278281,68.6626621027507,6.95822408936744,LSOAs never ranked in top 50 most deprived,310,363,331,382,290,UF1,Urban: Further from a major town or city,Urban,793,501
W01000595,Narberth,Pembrokeshire,1373,957,1015,1046,1083,1767,1504,962,1684,11.8074536591649,15.7053219536497,14.3843252638386,13.7082044144994,12.9264063213085,1.86159671694708,5.51406090412589,15.5884067692259,2.95289475817678,LSOAs never ranked in top 50 most deprived,1186,1085,1095,1077,955,RLF1,Larger rural: Further from a major town or city,Rural,394,131
W01000596,Narberth: Rural,Pembrokeshire,1466,1708,1508,1540,1345,231,815,1898,1601,10.164819275433,2.63198192210366,5.45393491170779,4.97850299285104,8.04106945396384,46.6853428676421,19.3011616189369,0.238082435226713,4.09856287032381,LSOAs never ranked in top 50 most deprived,1523,1407,1297,1372,1266,RSF1,Smaller rural: Further from a major town or city,Rural,-1235,-651
W01000597,Newport,Pembrokeshire,1269,926,1107,1706,1008,527,1001,1431,1468,13.3934312392994,16.4437702057272,12.4331432288226,2.65855429991564,14.5397881120751,28.9703717157988,14.696308928363,6.6399065947588,6.06238725453122,LSOAs never ranked in top 50 most deprived,1351,1326,1180,1081,1197,RLF1,Larger rural: Further from a major town or city,Rural,-742,-268
W01000598,Neyland: East,Pembrokeshire,1129,789,646,1020,883,1668,1541,753,1775,15.797583823612,20.025086155969,24.4737829256576,14.2739202271162,17.5089804663596,3.16935151898829,4.96380294814753,21.0666148502514,1.75909650129803,LSOAs never ranked in top 50 most deprived,1142,1079,974,1069,940,RLF1,Larger rural: Further from a major town or city,Rural,539,412
W01000599,Neyland: West,Pembrokeshire,679,577,654,772,764,287,953,867,1830,23.3382410632766,26.973009449722,24.2008317495807,20.5110472173339,20.7433368930437,42.121134111506,15.7992838993976,17.9182798287869,1.06650866519429,LSOAs never ranked in top 50 most deprived,852,856,759,706,694,RLF1,Larger rural: Further from a major town or city,Rural,-392,274
W01000600,Pembroke Dock: Central,Pembrokeshire,254,234,247,231,336,1851,567,161,715,38.0548268342068,46.4164609494925,45.2863163563805,46.6853428676421,38.7571973878808,0.807472073988819,27.3588461132057,54.0620882804771,22.2197063596296,LSOAs never ranked in top 50 most deprived,148,201,404,413,456,RLF1,Larger rural: Further from a major town or city,Rural,1597,313
W01000601,Pembroke Dock: Llanion 1,Pembrokeshire,92,82,79,124,47,619,756,384,1491,54.250199704114,66.859958217564,67.5195259195412,59.1906273993731,76.0644806138891,25.4196670575853,20.9779965462669,35.8793553824041,5.71056304896937,LSOAs never ranked in top 50 most deprived,62,67,52,60,55,RLF1,Larger rural: Further from a major town or city,Rural,527,664
W01000602,Pembroke Dock: Llanion 2,Pembrokeshire,798,829,481,664,655,1112,1412,629,1360,20.821246078347695,18.9205927745562,30.9749679312151,23.8641358225167,24.1669394897914,12.3316982382375,6.94220314888323,25.0647880899908,7.79045336062413,LSOAs never ranked in top 50 most deprived,770,707,893,1058,635,RLF1,Larger rural: Further from a major town or city,Rural,314,614
W01000603,Pembroke Dock: Market,Pembrokeshire,850,1065,848,657,510,1033,787,404,1110,19.9450331756754,13.3034223470218,18.4139767812634,24.0993044317539,29.6910070790377,13.9893230473638,20.081727980287095,34.7789859280729,12.3722225576746,LSOAs never ranked in top 50 most deprived,746,703,688,719,691,RLF1,Larger rural: Further from a major town or city,Rural,183,-63
W01000604,Pembroke Dock: Pennar 1,Pembrokeshire,322,300,315,399,192,529,937,561,1894,35.1536533800405,41.1796295698724,40.139108347939,35.0491823781009,50.5010291475884,28.8870565762234,16.1790180131088,27.5934936819906,0.285996096032325,LSOAs never ranked in top 50 most deprived,294,487,466,583,580,RLF1,Larger rural: Further from a major town or city,Rural,207,615
W01000605,Pembroke Dock: Pennar 2,Pembrokeshire,878,931,800,819,551,470,1082,1021,1898,19.3695233964559,16.323050374395,19.7160252328773,19.1917835895332,27.9899724127521,31.481372079309,12.9471903101728,14.2519026738095,0.238082435226713,LSOAs never ranked in top 50 most deprived,631,714,721,786,754,RLF1,Larger rural: Further from a major town or city,Rural,-408,204
W01000606,Pembroke: Monkton,Pembrokeshire,83,53,85,241,55,488,333,271,1673,55.6372157174096,74.2016460757048,66.2187787521445,45.8010305504303,73.6127848600583,30.658420845487,38.9496021115052,43.3354521612765,3.1014896941000294,LSOAs never ranked in top 50 most deprived,85,80,99,85,76,RLF1,Larger rural: Further from a major town or city,Rural,405,250
W01000607,Pembroke: St Mary North,Pembrokeshire,479,500,473,390,341,628,1372,519,1119,28.877375544778,30.125703080725305,31.3421524126318,35.5436819416347,38.4400569687778,25.1000305957824,7.59190828071483,29.3066834813451,12.1904227741629,LSOAs never ranked in top 50 most deprived,399,411,301,330,350,RLF1,Larger rural: Further from a major town or city,Rural,149,893
W01000608,Pembroke: St Mary South,Pembrokeshire,691,772,598,696,698,1322,938,215,312,23.080519564513,20.5110472173339,26.1832273071287,22.818681184314105,22.7548915842265,8.43073092520504,16.155100067689,48.1750115662891,40.3434807781602,LSOAs never ranked in top 50 most deprived,640,572,613,727,597,RLF1,Larger rural: Further from a major town or city,Rural,631,247
W01000609,Pembroke: St Michael,Pembrokeshire,1547,1447,1232,1396,1390,519,1847,1673,1644,8.84923694239979,6.38838697965858,10.0223013573301,7.19988706490412,7.29726773457373,29.3066834813451,0.856587976173153,3.1014896941000294,3.49790484275683,LSOAs never ranked in top 50 most deprived,1538,1457,1425,1424,1370,RLF1,Larger rural: Further from a major town or city,Rural,-1028,300
W01000610,Penally,Pembrokeshire,1402,1662,1490,1221,950,235,1510,1163,1807,11.3705460497974,3.25105089589296,5.72574836504909,10.2246021356279,15.8700081294809,46.3275276621096,5.4239307553771,11.3217403190675,1.35360342142781,LSOAs never ranked in top 50 most deprived,1400,1506,1448,1417,1384,RSF1,Smaller rural: Further from a major town or city,Rural,-1167,108
W01000611,Rudbaxton,Pembrokeshire,1515,1570,1548,1625,1611,177,1447,1598,1555,9.32512660842992,4.54153794047331,4.86116486524089,3.76137958502368,3.95746861979922,52.155457530604,6.38838697965858,4.14106048118708,4.75898277326274,LSOAs never ranked in top 50 most deprived,1443,1530,1408,1364,1434,RSF1,Smaller rural: Further from a major town or city,Rural,-1338,-68
W01000612,St Davids,Pembrokeshire,1298,1099,1158,1503,1429,330,821,1292,1764,12.9975352875423,12.5963916721678,11.4188179131678,5.52911699371266,6.67154082784447,39.1436299697375,19.1372890163735,8.94911290025359,1.90015237233338,LSOAs never ranked in top 50 most deprived,1207,1121,1037,1004,1042,RLF1,Larger rural: Further from a major town or city,Rural,-968,-477
W01000613,St Dogmaels,Pembrokeshire,1082,1227,1343,1694,1615,89,313,1416,706,16.4418261694136,10.1140357324734,8.07469221342719,2.81863650464155,3.90127238409541,65.3907641045194,40.2751546577664,6.87823075017479,22.501487779095,LSOAs never ranked in top 50 most deprived,1031,1109,860,864,972,RSF1,Smaller rural: Further from a major town or city,Rural,-993,-769
W01000614,St Ishmaels,Pembrokeshire,874,1224,1100,1587,1235,14,437,1241,1651,19.4726449908641,10.1692524942803,12.5759221379212,4.29756033697686,9.96743584161688,90.4076387112208,33.0711303301886,9.85809589403115,3.40159101249514,LSOAs never ranked in top 50 most deprived,941,1019,880,1014,1167,RSF1,Smaller rural: Further from a major town or city,Rural,-860,-437
W01000617,Scleddau,Pembrokeshire,636,750,796,1370,863,67,225,1164,1591,24.3511768159001,21.1555759189672,19.8279311022189,7.62488033337581,18.021752966991695,70.3649611810893,47.2327246165593,11.3023738725825,4.24052801339914,LSOAs never ranked in top 50 most deprived,738,816,829,888,778,RSF1,Smaller rural: Further from a major town or city,Rural,-569,-411
W01000618,Solva,Pembrokeshire,1091,1338,1512,1447,1189,91,322,1868,905,16.294184751246,8.15896478170446,5.39396568933568,6.38838697965858,10.8234377992372,64.9876733609214,39.6691852192056,0.599891767833017,16.9578285669926,LSOAs never ranked in top 50 most deprived,1170,1171,1128,1275,1163,RSF1,Smaller rural: Further from a major town or city,Rural,-1000,-769
W01000619,Tenby: North,Pembrokeshire,1300,978,1114,1189,744,1394,1373,1111,1257,12.917678111731,15.2182225660566,12.2912451941267,10.8234377992372,21.334537029092495,7.2323014981324,7.57543996283443,12.3519514728459,9.56903868608086,LSOAs never ranked in top 50 most deprived,1284,1541,1373,1343,1257,RLF1,Larger rural: Further from a major town or city,Rural,94,73
W01000622,The Havens,Pembrokeshire,1369,1515,1479,1609,1753,144,622,1314,1510,11.8447063467814,5.34909116215445,5.89345191451641,3.98561831106824,2.04207866073256,56.2775777153638,25.3126272482033,8.56782774795796,5.4239307553771,LSOAs never ranked in top 50 most deprived,1414,1359,1217,1154,1047,RSF1,Smaller rural: Further from a major town or city,Rural,-1225,-747
W01000623,Wiston,Pembrokeshire,1214,1542,1423,1555,1536,58,416,1800,1676,14.4349262227028,4.94911229271788,6.76670542654304,4.75898277326274,5.03739730494301,72.7568312135891,34.1431782076104,1.44169618464421,3.06086850077605,LSOAs never ranked in top 50 most deprived,1314,1273,1124,1197,1229,RSF1,Smaller rural: Further from a major town or city,Rural,-1156,-798
W01000624,Abergwili,Carmarthenshire,1308,1638,1534,1298,1581,179,412,1810,987,12.8424980885998,3.58078178518821,5.06690110998117,8.84449761272578,4.38337486685589,51.9278693917135,34.3531672483296,1.31595242325068,15.0125827581996,LSOAs never ranked in top 50 most deprived,1398,1516,1496,1478,1533,RSF1,Smaller rural: Further from a major town or city,Rural,-1129,-896
W01000625,Ammanford 1,Carmarthenshire,301,320,239,260,211,917,997,657,1233,36.0839640003783,39.8024721224689,45.9751938864088,44.2091121956056,48.5630080967241,16.6626755924952,14.7862299681048,24.0993044317539,10.0039983060913,LSOAs never ranked in top 50 most deprived,384,291,373,361,318,UN1,Urban: Nearer to a major town or city,Urban,616,696
W01000626,Ammanford 2,Carmarthenshire,524,434,324,581,904,1844,903,103,642,27.6025866594057,33.221254504512,39.5366662763192,26.8204690556212,16.9825964740492,0.8934938567954461,17.0073910815665,62.7070963930939,24.611482915278305,LSOAs never ranked in top 50 most deprived,434,534,684,674,873,UN1,Urban: Nearer to a major town or city,Urban,1320,379
W01000627,Betws,Carmarthenshire,1215,1011,923,1181,1135,367,1495,1421,1757,14.4293430297325,14.4730324649616,16.5165074178743,10.975614999948199,11.8707292942162,36.8579296788392,5.64992184469393,6.79851466152666,1.99036771401793,LSOAs never ranked in top 50 most deprived,1026,849,692,808,658,UN1,Urban: Nearer to a major town or city,Urban,-848,280
